Categoria,Concepto,Descripcion,Tipo_Costo,Monto_USD,Periodicidad,Volumen_Aplicable,Notas
SETUP_INICIAL,Configuracion_Base,Setup inicial del sistema de scraping,Unico,800,Una vez,Todos los volumenes,Configuracion de infraestructura base
SETUP_INICIAL,Desarrollo_Instagram_Scraper,Desarrollo completo del scraper para Instagram Reels,Unico,1200,Una vez,Todos los volumenes,Incluye extraccion de posts y comentarios
SETUP_INICIAL,Desarrollo_Facebook_Scraper,Desarrollo completo del scraper para Facebook Reels,Unico,1500,Una vez,Todos los volumenes,Incluye integracion con Facebook API
SETUP_INICIAL,Integracion_Facebook_API,Configuracion y desarrollo de integracion con Facebook Graph API,Unico,600,Una vez,Todos los volumenes,Manejo de tokens y permisos
SETUP_INICIAL,Testing_Optimizacion,Testing completo y optimizacion del sistema,Unico,500,Una vez,Todos los volumenes,QA y optimizacion de rendimiento
SETUP_INICIAL,Panel_Control_Unificado,Dashboard web para monitoreo y control,Unico,400,Una vez,Todos los volumenes,Interface de usuario para gestion
SETUP_INICIAL,TOTAL_SETUP,Total costos de setup inicial,Unico,3000,Una vez,Todos los volumenes,Descuento 17% aplicado vs cotizaciones individuales
OPERACIONAL,Scrapfly_Enterprise,Plan Scrapfly Enterprise - 2M requests/mes,Mensual,599,Mensual,Hasta 15000 reels/dia,2 millones de requests mensuales incluidos
OPERACIONAL,Proxies_Premium,Proxies premium para rotacion y anonimato,Mensual,250,Mensual,Todos los volumenes,Pool de proxies de alta calidad
OPERACIONAL,Infraestructura_Cloud,Servidores y base de datos en la nube,Mensual,200,Mensual,Todos los volumenes,AWS/GCP hosting optimizado
OPERACIONAL,Mantenimiento_Tecnico,Mantenimiento y soporte tecnico,Mensual,600,Mensual,Todos los volumenes,Actualizaciones y resolucion de issues
OPERACIONAL,Facebook_API_Costs,Costos variables de Facebook API,Mensual,150,Mensual,Todos los volumenes,Estimado basado en uso promedio
OPERACIONAL,SUBTOTAL_BASE_MENSUAL,Subtotal costos operacionales base,Mensual,1799,Mensual,Todos los volumenes,Costos fijos mensuales minimos
VOLUMEN_1-2000,Costo_Operacional_Bajo,Costos operacionales para 1-2000 reels/dia,Mensual,1700,Mensual,1-2000 reels/dia,Nivel de entrada - hasta 60k reels/mes
VOLUMEN_2001-8000,Costo_Operacional_Medio,Costos operacionales para 2001-8000 reels/dia,Mensual,2100,Mensual,2001-8000 reels/dia,Nivel medio - hasta 240k reels/mes
VOLUMEN_8001-15000,Costo_Operacional_Alto,Costos operacionales para 8001-15000 reels/dia,Mensual,2800,Mensual,8001-15000 reels/dia,Nivel alto - hasta 450k reels/mes
ADICIONALES,Backup_Automatico,Sistema de backup automatico de datos,Mensual,50,Mensual,Opcional,Backup diario en multiple ubicaciones
ADICIONALES,API_REST_Personalizada,API REST para integracion con otros sistemas,Unico,300,Una vez,Opcional,Endpoints personalizados para tu sistema
ADICIONALES,Alertas_Avanzadas,Sistema de alertas por email/webhook,Mensual,25,Mensual,Opcional,Notificaciones personalizadas
ADICIONALES,Reportes_Personalizados,Reportes automaticos personalizados,Mensual,100,Mensual,Opcional,Reportes semanales/mensuales en Excel/PDF
ADICIONALES,Escalabilidad_Premium,Escalabilidad automatica para picos de demanda,Mensual,200,Mensual,Opcional,Auto-scaling basado en carga
DESCUENTOS,Pago_Anual_Operacional,Descuento por pago anual adelantado,Descuento,-10%,Anual,Todos los volumenes,10% descuento sobre costos operacionales
DESCUENTOS,Pago_Setup_Completo,Descuento por pago completo de setup,Descuento,-5%,Una vez,Todos los volumenes,5% descuento adicional por pago anticipado total
